large	{'expression': 2}	
ap1b1	{'-binding': 2, 'restore': 5, 'domain': 2, 'activate': 4, 'associated': 3, 'individuals': 3, 'binding': 2, 'alterations': 1, 'abolishes': 4, 'deficiency': 1, 'inhibits': 2, 'expressed': 1, 'enhanced': 2, 'inhibiting': 3, 'expressions': 2, 'interacts': 5, 'mediating': 1, 'targeting': 1, 'exclusion': 2, 'relocation': 4, 'homodimerization': 1, 'inhibitors': 2, 'repression': 4, 'regulation': 4, 'complex': 7, 'activator': 1, 'decreased': 1, 'translocation': 1, 'inserting': 1, 'independent': 1, 'lacking': 1, 'interactions': 2, 'dependent': 1, 'activated': 1, 'activation': 7, 'requires': 3, 'degradation': 2, 'disruption': 2, 'inhibition': 4, 'interaction': 2, 'overexpression': 1, 'knockdown': 2, 'deficient': 1, 'micropatterning': 1, 'phosphorylated': 1, 'recruit': 5, 'reduced': 1, 'binds': 5, 'inhibited': 2, 'bind': 3, 'decrease': 1, 'repressed': 4, 'increase': 1, 'expression': 26, 'silencing': 1}	
vsig4	{'domain': 1, 'engagement': 1, 'recognize': 2, 'binding': 8, 'transfection': 1, 'decrease': 1, 'phosphorylation': 1, 'translocate': 1, 'expressions': 2, 'complex': 4, 'overexpressed': 1, 'targeting': 2, 'interacting': 2, 'down-regulated': 2, 'restricted': 1, 'macrophages': 1, 'induces': 4, 'recognizing': 2, 'expressed': 31, 'targeted': 2, 'reduction': 2, 'production': 4, 'affinity': 1, 'association': 1, 'expressing': 3, 'secretion': 1, 'decreased': 1, 'was': 1, 'consisting': 3, 'colocalized': 3, 'down-regulation': 3, 'increased': 2, 'interactions': 2, 'importance': 2, 'activation': 4, 'express': 7, 'co-expression': 3, 'co-expressed': 3, 'blockade': 3, 'deposition': 2, 'acid-binding': 4, 'using': 2, 'blocking': 1, 'present': 2, 'trigger': 1, 'abundance': 5, 'inhibit': 2, 'interaction': 5, 'target': 2, 'level': 5, 'deficient': 2, 'regulators': 3, 'coexpressed': 2, 'secreting': 1, 'binds': 6, 'regulation': 1, 'inhibited': 1, 'decreasing': 1, 'release': 5, 'found': 2, 'inhibitor': 2, 'expression': 52, 'reduced': 3}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
pkp1	{'contains': 2, 'associated': 5, 'presence': 3, 'reductions': 2, 'localizes': 1, 'downregulated': 2, 'disruption': 2, 'deficiency': 2, 'associates': 6, 'regulated': 3, 'exhibits': 2, 'have': 3, 'measurement': 2, 'localize': 3, 'binding': 11, 'interacts': 5, 'degraded': 1, 'localized': 3, 'upregulation': 4, 'overexpressed': 10, 'recruits': 2, 'detect': 1, 'interacting': 3, 'decrease': 1, 'depletion': 1, 'interact': 6, 'localization': 12, 'reduction': 6, 'expressed': 18, 'increase': 1, 'up-regulated': 1, 'stimulated': 4, 'mediated': 1, 'promoting': 2, 'expressing': 1, 'redistribution': 1, 'decreased': 4, 'downregulation': 2, 'tyrosine': 1, 'do': 1, 'deletion': 1, 'interactions': 6, 'influence': 2, 'activation': 1, 'express': 1, 'containing': 3, 'coprecipitated': 2, 'controls': 1, 'knockdown': 4, 'interaction': 11, 'up-regulation': 2, 'members': 2, 'immunolocalized': 2, 'non-phosphorylated': 1, 'association': 10, 'loss': 9, 'increased': 1, 'stabilized': 4, 'target': 4, 'overexpression': 4, 'recruitment': 7, 'deficient': 3, 'bind': 6, 'phosphorylated': 3, 'recruit': 7, 'phosphorylation': 6, 'accumulation': 1, 'encoding': 1, 'sensitive': 1, 'detected': 4, 'prevents': 4, 'promoted': 2, 'deregulation': 2, 'regulation': 3, 'expression': 48, 'reduced': 8}	
sertad2	{'competing': 1, 'activated': 3, 'degraded': 3, 'localized': 2, 'overexpressed': 1, 'depletion': 4, 'decreases': 2, 'decreased': 3, 'increased': 3, 'dependent': 2, 'activation': 4, 'express': 2, 'degradation': 4, 'increases': 1, 'upstream': 2, 'association': 1, 'loss': 1, 'phosphorylation': 7, 'decrease': 2, 'repressed': 3, 'accumulation': 1, 'enhances': 2, 'domain': 1, 'inhibitors+nicotine': 1, 'attenuates': 1, 'recruitment': 3, 'targets': 1, 'stabilised': 2, 'staurosporine': 1, 'interacting': 16, 'induces': 1, 'expressed': 7, 'inhibitors': 9, 'repression': 3, 'up-regulated': 5, 'mediated': 1, 'mutation': 1, 'expressing': 4, 'increasing': 2, 'induction': 3, 'down-regulation': 1, 'interactions': 3, 'suppressed': 2, 'interaction': 9, 'region': 1, 'reduced': 4, 'recognizes': 2, 'changes': 6, 'regulates': 8, 'bound': 2, 'light-regulated': 2, 'regulated': 12, 'targeting': 5, 'interacted': 2, 'down-regulated': 6, 'colocalizes': 2, 'interact': 3, 'due': 1, 'regulation': 6, 'secretion': 1, 'releases': 2, 'knockdown': 5, 'gain': 3, 'co-localization': 2, 'injection': 1, 'over-expression': 1, 'phosphorylated': 1, 'modified': 1, 'regulator': 5, 'binds': 15, 'misexpressed': 1, 'abolished': 2, 'phosphorylates': 1, 'reduction': 1, 'binding': 7, 'destabilization': 1, 'associates': 3, 'interacts': 9, 'upregulation': 1, 'overexpressing': 1, 'redundancy': 1, 'transcription': 2, 'coexpression': 3, 'elevated': 3, 'complex': 2, 'role': 4, 'recognition': 2, 'activator': 2, 'downregulation': 1, 'impairment': 1, 'effect': 2, 'includes': 4, 'complexes': 4, 'levels': 7, 'overexpression': 8, 'bind': 1, 'required': 3, 'inhibited': 1, 'expression': 108, 'silencing': 2}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
lrrfip1	{'observed': 1, 'interactions': 1, 'expression': 4, 'activation': 8, 'inhibitor-treated': 1, 'attenuates': 1, 'production': 3, 'intensity': 4, 'complex': 2, 'inhibits': 1, 'combined': 2, 'secretion': 2, 'activating': 1, 'association': 4}	
eftud2	{'domain': 3, 'responsible': 4, 'associated': 1, 'allows': 2, 'inducing': 1, 'competing': 1, 'binding': 21, 'bound': 6, 'produce': 3, 'destabilization': 2, 'associates': 6, 'regulated': 1, 'controlled': 2, 'regulate': 3, 'interacts': 14, 'residue': 1, 'depletion': 2, 'present': 1, 'dissociation': 2, 'platform': 2, 'addition': 1, 'interact': 11, 'associate': 5, 'reduction': 1, 'destabilize': 2, 'stimulation': 1, 'dependent': 2, 'regulation': 1, 'complex': 5, 'promoting': 2, 'screening': 2, 'stimulate': 1, 'decreased': 1, 'c-terminus': 1, 'destabilizes': 1, 'terminus': 1, 'blocks': 1, 'increased': 2, 'lacking': 2, 'interactions': 26, 'counteracts': 4, 'activation': 4, 'detectable': 1, 'levels': 1, 'requires': 7, 'induce': 1, 'knock-down': 1, 'change': 2, 'released': 4, 'interface': 4, 'inhibition': 4, 'dock': 3, 'recognizes': 3, 'assemble': 2, 'delivers': 2, 'role': 2, 'engage': 1, 'domains': 3, 'association': 13, 'stimulates': 4, 'unwinding': 3, 'interaction': 5, 'necessary': 1, 'knockdown': 1, 'bind': 18, 'region': 3, 'required': 1, 'phosphorylated': 1, 'localization': 5, 'promotes': 2, 'binds': 17, 'absence': 4, 'assembly': 1, 'loop': 2, 'form': 4, 'contacts': 1, 'release': 2, 'found': 5, 'repressed': 1, 'expression': 7, 'essential': 1, 'restored': 2, 'paired': 1}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
nos2	{'induction': 2, 'enhance': 2, 'expression': 19, 'phosphorylation': 2, 'inhibitors': 2, 'produced': 1, 'inhibition': 1, 'production': 4, 'expressed': 1, 'suppression': 1, 'activity': 2, 'staining': 6, 'induced': 3, 'suppressing': 2, 'reduced': 1, 'inducible': 4, 'upregulation': 1}	
ap2b1	{'reduction': 1, 'binding': 10, 'bound': 1, 'abolishes': 4, 'production': 4, 'regulated': 4, 'enhanced': 2, 'inhibiting': 2, 'expressions': 1, 'upregulated': 1, 'interacts': 2, 'upregulation': 1, 'requirements': 2, 'relocation': 4, 'complex': 2, 'inhibitors': 1, 'regulation': 3, 'recognised': 1, 'role': 2, 'decreased': 1, 'induced': 1, 'dependent': 1, 'activation': 7, 'residues': 1, 'knockdown': 1, 'important': 1, 'up-regulation': 1, 'overexpression': 1, 'deficiency': 1, 'deficient': 1, 'activation-induced': 2, 'silencing': 1, 'binds': 6, 'inhibition': 4, 'expression': 16, 'reduced': 1, 'inhibited': 1}	
pkd1	{'regulates': 1, 'family': 16, 'recognize': 4, 'reduce': 1, 'produced': 1, 'deficiency': 1, 'rescue': 2, 'inactivation': 1, 'secreted': 2, 'expressed': 1, 'regulation': 1, 'deletion': 3, 'secretion': 3, 'induced': 25, 'affected': 1, 'increased': 3, 'complexed': 2, 'localization': 1, 'downregulated': 1, 'activation': 5, 'blockade': 1, 'inhibition': 6, 'detecting': 1, 'present': 2, 'interaction': 2, 'knockdown': 2, 'bind': 30, 'phosphorylated': 1, 'phosphorylation': 11, 'expression': 16, 'cleavage': 2, 'co-localized': 2, 'changes': 1, 'reduced': 2, 'restored': 1}	
or1f1	{}	
sh3glb1	{'attenuates': 1, 'recruitment': 1, 'regulated': 4, 'combined': 2, 'secretion': 2, 'inhibits': 1, 'regulate': 1, 'expression': 1, 'association': 4}	
pcsk5	{'enhances': 2, 'activate': 4, 'associated': 7, 'reductions': 3, 'reduction': 2, 'influence': 3, 'regulated': 1, 'elevated': 5, 'inhibiting': 1, 'activates': 12, 'given': 2, 'down-regulated': 3, 'circulating': 1, 'overproduction': 1, 'expressed': 2, 'removal': 2, 'detected': 2, 'decreased': 8, 'associations': 2, 'down-regulation': 4, 'incidence': 4, 'degradation': 3, 'inhibition': 6, 'association': 2, 'overexpression': 2, 'reduces': 1, 'inhibitors': 1, 'promotes': 1, 'levels': 2, 'decrease': 1, 'inhibitor': 3, 'expression': 9, 'silencing': 1}	
spag7	{'binding': 9, 'bound': 1, 'expressed': 19, 'upregulated': 7, 'interactions': 11, 'complex': 2, 'immobilized': 2, 'regions': 7, 'up-regulated': 1, 'regulation': 2, 'production': 1, 'role': 1, 'expressing': 2, 'secretion': 2, 'induced': 2, 'synthesis': 1, 'increased': 2, 'secreted': 9, 'activation': 4, 'knockdown': 2, 'increases': 1, 'inhibition': 1, 'haploinsufficiency': 1, 'present': 3, 'interaction': 7, 'reproductive': 1, 'deficient': 1, 'bind': 7, 'mediated': 1, 'inhibited': 3, 'expression': 26, 'reduced': 2}	
pde2a	{'control': 1, 'prevent': 1, 'regulates': 1, 'characterisation': 1, 'binding': 5, 'degrades': 2, 'selectivity': 1, 'production': 6, 'modulated': 1, 'minimizing': 1, 'regulated': 5, 'decreases': 2, 'insertion': 1, 'inhibiting': 1, 'expressions': 2, 'reducing': 1, 'suppressing': 2, 'targets': 2, 'overexpressing': 1, 'targeting': 1, 'transcription': 3, 'expressed': 16, 'inhibitors': 49, 'increase': 1, 'regulation': 3, 'inhibited': 2, 'deletion': 7, 'secretion': 2, 'modulate': 2, 'downregulation': 6, 'induction': 2, 'alter': 1, 'modulations': 2, 'degraded': 2, 'associations': 1, 'overexpressed': 1, 'optimizing': 2, 'elevation': 4, 'increased': 4, 'mediated': 1, 'interactions': 1, 'linked': 2, 'activation': 6, 'induce': 2, 'degradation': 1, 'knockdown': 1, 'increases': 1, 'inhibition': 36, 'stimulating': 1, 'up-regulation': 4, 'suppression': 1, 'activating': 2, 'mediates': 1, 'suppressed': 1, 'association': 1, 'accelerates': 2, 'cnp-induced': 1, 'overexpression': 2, 'roles': 3, 'bind': 5, 'phosphorylation': 6, 'accumulation': 1, 'regulator': 1, 'selective': 2, 'regulating': 1, 'up-regulations': 2, 'inhibitor': 26, 'expression': 29, 'stimulate': 1, 'block': 2, 'effects': 3}	
rps6ka4	{'inhibitor-treated': 1, 'binding': 3, 'observed': 1, 'production': 1, 'intensity': 4, 'oligomerization': 1, 'suppressing': 2, 'upregulation': 2, 'targeting': 1, 'interacting': 2, 'interact': 1, 'expressed': 1, 'inhibitors': 9, 'increase': 1, 'complex': 2, 'downregulation': 1, 'induction': 1, 'tyrosine': 1, 'recruits': 1, 'activated': 1, 'activation': 13, 'disruption': 1, 'increases': 2, 'inhibition': 4, 'effects': 1, 'overexpression': 2, 'recruitment': 2, 'reduces': 1, 'required': 1, 'phosphorylation': 5, 'mediated': 1, 'binds': 7, 'regulating': 1, 'inhibitor': 2, 'expression': 9}	
pde2a	{'control': 1, 'prevent': 1, 'regulates': 1, 'characterisation': 1, 'binding': 5, 'degrades': 2, 'selectivity': 1, 'production': 6, 'modulated': 1, 'minimizing': 1, 'regulated': 5, 'decreases': 2, 'insertion': 1, 'inhibiting': 1, 'expressions': 2, 'reducing': 1, 'suppressing': 2, 'targets': 2, 'overexpressing': 1, 'targeting': 1, 'transcription': 3, 'expressed': 16, 'inhibitors': 49, 'increase': 1, 'regulation': 3, 'inhibited': 2, 'deletion': 7, 'secretion': 2, 'modulate': 2, 'downregulation': 6, 'induction': 2, 'alter': 1, 'modulations': 2, 'degraded': 2, 'associations': 1, 'overexpressed': 1, 'optimizing': 2, 'elevation': 4, 'increased': 4, 'mediated': 1, 'interactions': 1, 'linked': 2, 'activation': 6, 'induce': 2, 'degradation': 1, 'knockdown': 1, 'increases': 1, 'inhibition': 36, 'stimulating': 1, 'up-regulation': 4, 'suppression': 1, 'activating': 2, 'mediates': 1, 'suppressed': 1, 'association': 1, 'accelerates': 2, 'cnp-induced': 1, 'overexpression': 2, 'roles': 3, 'bind': 5, 'phosphorylation': 6, 'accumulation': 1, 'regulator': 1, 'selective': 2, 'regulating': 1, 'up-regulations': 2, 'inhibitor': 26, 'expression': 29, 'stimulate': 1, 'block': 2, 'effects': 3}	
rps3	{}	
pde2a	{'control': 1, 'prevent': 1, 'regulates': 1, 'characterisation': 1, 'binding': 5, 'degrades': 2, 'selectivity': 1, 'production': 6, 'modulated': 1, 'minimizing': 1, 'regulated': 5, 'decreases': 2, 'insertion': 1, 'inhibiting': 1, 'expressions': 2, 'reducing': 1, 'suppressing': 2, 'targets': 2, 'overexpressing': 1, 'targeting': 1, 'transcription': 3, 'expressed': 16, 'inhibitors': 49, 'increase': 1, 'regulation': 3, 'inhibited': 2, 'deletion': 7, 'secretion': 2, 'modulate': 2, 'downregulation': 6, 'induction': 2, 'alter': 1, 'modulations': 2, 'degraded': 2, 'associations': 1, 'overexpressed': 1, 'optimizing': 2, 'elevation': 4, 'increased': 4, 'mediated': 1, 'interactions': 1, 'linked': 2, 'activation': 6, 'induce': 2, 'degradation': 1, 'knockdown': 1, 'increases': 1, 'inhibition': 36, 'stimulating': 1, 'up-regulation': 4, 'suppression': 1, 'activating': 2, 'mediates': 1, 'suppressed': 1, 'association': 1, 'accelerates': 2, 'cnp-induced': 1, 'overexpression': 2, 'roles': 3, 'bind': 5, 'phosphorylation': 6, 'accumulation': 1, 'regulator': 1, 'selective': 2, 'regulating': 1, 'up-regulations': 2, 'inhibitor': 26, 'expression': 29, 'stimulate': 1, 'block': 2, 'effects': 3}	
pde4a	{'control': 1, 'domain': 3, 'regulates': 2, 'regulated': 2, 'exposed': 1, 'disrupts': 1, 'binding': 6, 'surface': 2, 'elevate': 3, 'inhibits': 2, 'co-immunoprecipitate': 6, 'inhibiting': 1, 'expressions': 2, 'interacts': 2, 'modulate': 2, 'localized': 2, 'upregulation': 1, 'overexpressed': 2, 'targeting': 2, 'interacting': 1, 'interact': 1, 'expressed': 2, 'inhibitors': 32, 'increase': 3, 'regulation': 3, 'mediated': 5, 'immunoprecipitates': 1, 'expressing': 1, 'decreased': 1, 'induction': 1, 'integrated': 2, 'synthesis': 1, 'dimerization': 1, 'affected': 2, 'increased': 1, 'interactions': 8, 'degradation': 2, 'knockdown': 1, 'controller': 1, 'inhibition': 11, 'effects': 2, 'involvement': 1, 'enhance': 3, 'association': 1, 'loss': 1, 'interaction': 12, 'coupling': 1, 'overexpression': 2, 'blockade': 2, 'bind': 19, 'level': 3, 'phosphorylated': 2, 'phosphorylation': 10, 'regulating': 1, 'up-regulations': 2, 'decrease': 2, 'inhibitor': 11, 'expression': 30}	
smarca4	{'enhances': 2, 'modulating': 2, 'losses': 1, 'rs12190287': 3, 'presence': 6, 'declines': 4, 'binding': 5, 'down': 1, 'recruitment': 3, 'associates': 2, 'regulated': 1, 'expressed': 1, 'inhibiting': 1, 'interacts': 5, 'upregulation': 4, 'deadenylation': 1, 'affects': 4, 'targeting': 2, 'interacting': 1, 'interacted': 2, 'down-regulated': 4, 'transcription': 10, 'ini1expression': 2, 'crucial': 3, 'recognizing': 1, 'decreases': 2, 'favor': 1, 'regulation': 4, 'role': 1, 'deletion': 1, 'depletion': 1, 'downregulation': 4, 'subunit': 2, 'recruited': 7, 'down-regulation': 4, 'increased': 3, 'interactions': 5, 'silencing': 1, 'knockdown': 4, 'regulators': 2, 'inhibition': 1, 'suppression': 2, 'mediates': 3, 'reclassified': 12, 'loss': 12, 'interaction': 2, 'overexpression': 4, 'deficiency': 1, 'acetylation': 1, 'bind': 6, 'required': 2, 'phosphorylation': 6, 'essential': 2, 'carrying': 2, 'regulating': 4, 'inactivation': 8, 'transcripts': 1, 'transcribed': 1, 'expression': 56, 'called': 1, 'interactive': 2}	
pdpk1	{'called': 1, 'domain': 3, 'activate': 1, 'serine/threonine': 2, 'mediator': 2, 'activated': 13, 'modulating': 2, 'one': 3, 'upregulation': 5, 'inhibits': 3, 'enhanced': 3, 'inhibiting': 5, 'expressions': 2, 'localized': 1, 'disrupting': 1, 'repression': 4, 'mrna-expression': 8, 'bind': 1, 'targeting': 2, 'inactivation': 3, 'interact': 2, 'stimulated': 1, 'expressed': 5, 'inhibitors': 5, 'increase': 2, 'regulation': 6, 'expressing': 2, '-induced': 2, 'decreased': 3, 'increasing': 3, 'reversed': 1, 'translocation': 5, 'enabling': 1, 'regulator': 1, 'down-regulation': 2, 'controlled': 1, 'increased': 7, 'dependent': 3, 'binding': 1, 'activation': 24, 'induce': 2, 'bound': 2, 'knockdown': 4, 'inhibition': 12, 'active': 3, 'suppressed': 1, 'loss': 1, 'affected': 1, 'induced': 6, 'target': 7, 'overexpression': 8, 'level': 1, 'deficient': 2, 'stabilizes': 4, 'reduces': 1, 'phosphorylated': 7, 'phosphorylation': 26, 'silencing': 1, 'dephosphorylates': 2, 'binds': 4, 'inhibited': 1, 'downregulating': 2, 'interaction': 7, 'deregulation': 2, 'inhibitor': 11, 'expression': 46, 'reduced': 7, 'block': 1}	
pkd1	{'regulates': 1, 'family': 16, 'recognize': 4, 'reduce': 1, 'produced': 1, 'deficiency': 1, 'rescue': 2, 'inactivation': 1, 'secreted': 2, 'expressed': 1, 'regulation': 1, 'deletion': 3, 'secretion': 3, 'induced': 25, 'affected': 1, 'increased': 3, 'complexed': 2, 'localization': 1, 'downregulated': 1, 'activation': 5, 'blockade': 1, 'inhibition': 6, 'detecting': 1, 'present': 2, 'interaction': 2, 'knockdown': 2, 'bind': 30, 'phosphorylated': 1, 'phosphorylation': 11, 'expression': 16, 'cleavage': 2, 'co-localized': 2, 'changes': 1, 'reduced': 2, 'restored': 1}	
snx17	{'visualization': 1, 'interaction': 1, 'targeting': 1, 'localization': 2, 'bind': 3, 'lack': 1, 'binding': 6, 'expressed': 1, 'regulation': 1, 'complex': 2, 'regulating': 2, 'trafficking': 2, 'regulate': 2, 'important': 2}	
pex10	{'domain': 1, 'regulates': 5, 'reintroduced': 1, 'lack': 3, 'binding': 2, 'product': 2, 'deficiency': 7, 'regulated': 2, 'defects': 2, 'enhanced': 3, 'consists': 6, 'controlled': 2, 'degraded': 1, 'upregulated': 3, 'interacts': 23, 'localized': 4, 'overexpressed': 1, 'confirmed': 5, 'regulate': 2, 'requirements': 2, 'defective': 1, 'inactivation': 1, 'interact': 10, 'cooperates': 12, 'overproduction': 1, 'interactions': 2, 'regulation': 8, 'production': 6, 'role': 3, 'present': 5, 'expressing': 2, 'modulating': 1, 'affinity': 2, 'downregulation': 2, 'induced': 1, 'translocation': 1, 'synthesis': 1, 'breakdown': 1, 'conjugating': 1, 'down-regulation': 1, 'recycling': 1, 'elevation': 2, 'increased': 2, 'associate': 3, 'recruitment': 3, 'degradation': 16, 'deficiencies': 1, 'knockdown': 6, 'levels': 1, 'allowing': 6, 'decreased': 1, 'targeting': 3, 'facilitating': 1, 'producing': 1, 'association': 1, 'possess': 1, 'loss': 1, 'lower': 4, 'interaction': 9, 'necessary': 1, 'assembly': 1, 'overexpression': 4, 'retrotranslocation': 3, 'requires': 2, 'required': 6, 'proteins': 4, 'localization': 1, 'binds': 37, 'absence': 2, 'regulating': 1, 'over-expressed': 1, 'complex': 3, 'expression': 18, 'reduced': 1, 'recognition': 2, 'exported': 1}	
pigb	{'domain': 1, 'caused': 2, 'binding': 7, 'bound': 2, 'accumulates': 1, 'elevated': 2, 'degraded': 1, 'linked': 1, 'localized': 3, 'blocked': 3, 'synthesized': 1, 'transcription': 4, 'cross-linking': 1, 'secreted': 1, 'regulation': 2, 'expressed': 13, 'increase': 1, 'dependent': 5, 'recognizing': 1, 'production': 10, 'transcribed': 1, 'expressing': 9, 'accumulating': 1, 'expresses': 1, 'downregulation': 1, 'heterogeneity': 1, 'activation': 1, 'synthesis': 2, 'controlled': 2, 'increased': 2, 'lacking': 1, 'localization': 1, 'heterodimer': 1, 'rescue': 2, 'cross-linked': 1, 'express': 5, 'transfer': 1, 'degradation': 1, 'biosynthesis': 4, 'disruption': 1, 'produce': 1, 'found': 1, 'properties': 1, 'present': 2, 'localizations': 2, 'induced': 2, 'determines': 1, 'products': 1, 'overexpression': 1, 'deficient': 1, 'region': 2, 'secretion': 5, 'inhibited': 10, 'inhibition': 5, 'reproduction': 2, 'inactivation': 1, 'release': 1, 'recognizes': 3, 'inhibitor': 1, 'expression': 18, 'affinity': 3}	
smad6	{'synergizes': 2, 'modulating': 1, 'set': 1, 'modulates': 1, 'co-regulated': 2, 'binding': 2, 'bound': 5, 'lfcinb-suppression': 1, 'inhibits': 7, 'defects': 1, 'enhanced': 2, 'accumulated': 2, 'expressions': 2, 'upregulated': 1, 'suppressing': 2, 'localized': 1, 'upregulation': 1, 'transcribed': 1, 'targeting': 3, 'interacting': 2, 'decrease': 1, 'transfer': 2, 'associate': 1, 'recruiting': 2, 'regulation': 1, 'expressed': 4, 'inhibitors': 1, 'depletion': 3, 'reduction': 1, 'mediated': 1, 'various': 2, 'deletion': 2, 'coordinated': 6, 'downregulation': 2, 'induced': 11, 'recruited': 2, 'tyrosine': 1, 'transfection': 2, 'rescue': 7, 'lacking': 1, 'interactions': 2, 'modulation': 2, 'activation': 14, 'express': 1, 'co-expression': 3, 'effect': 1, 'degradation': 1, 'inactivation': 1, 'increases': 1, 'levels': 5, 'effects': 2, 'suppressed': 5, 'activating': 1, 'suppressor': 2, 'interaction': 4, 'necessary': 2, 'target': 1, 'overexpression': 1, 'knockdown': 3, 'translocated': 1, 'require': 1, 'phosphorylated': 2, 'phosphorylation': 17, 'reduced': 1, 'regulator': 1, 'transcription': 4, 'deplete': 1, 'repressed': 1, 'inhibitor': 5, 'expression': 67, 'silencing': 3, 'augmented': 4}	
smad6	{'synergizes': 2, 'modulating': 1, 'set': 1, 'modulates': 1, 'co-regulated': 2, 'binding': 2, 'bound': 5, 'lfcinb-suppression': 1, 'inhibits': 7, 'defects': 1, 'enhanced': 2, 'accumulated': 2, 'expressions': 2, 'upregulated': 1, 'suppressing': 2, 'localized': 1, 'upregulation': 1, 'transcribed': 1, 'targeting': 3, 'interacting': 2, 'decrease': 1, 'transfer': 2, 'associate': 1, 'recruiting': 2, 'regulation': 1, 'expressed': 4, 'inhibitors': 1, 'depletion': 3, 'reduction': 1, 'mediated': 1, 'various': 2, 'deletion': 2, 'coordinated': 6, 'downregulation': 2, 'induced': 11, 'recruited': 2, 'tyrosine': 1, 'transfection': 2, 'rescue': 7, 'lacking': 1, 'interactions': 2, 'modulation': 2, 'activation': 14, 'express': 1, 'co-expression': 3, 'effect': 1, 'degradation': 1, 'inactivation': 1, 'increases': 1, 'levels': 5, 'effects': 2, 'suppressed': 5, 'activating': 1, 'suppressor': 2, 'interaction': 4, 'necessary': 2, 'target': 1, 'overexpression': 1, 'knockdown': 3, 'translocated': 1, 'require': 1, 'phosphorylated': 2, 'phosphorylation': 17, 'reduced': 1, 'regulator': 1, 'transcription': 4, 'deplete': 1, 'repressed': 1, 'inhibitor': 5, 'expression': 67, 'silencing': 3, 'augmented': 4}	
